Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Customer_Segment,Cluster,PCA1,PCA2,Cluster_Name
CUST0042,282,3,117.37115365390514,1,1,1,111,1.0,About to Sleep,1,-2.6686713788150196,1.5632801623278467,At Risk
CUST0043,80,8,966.2734051017732,2,5,5,255,4.0,At Risk,0,1.7964205005482232,0.8599241996208266,VIP Customers
CUST0044,103,2,258.10771992630066,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.620639035932874,-0.46732136015187764,At Risk
CUST0045,24,4,472.2931900230148,4,2,3,423,3.0,Potential Loyalists,1,-0.12476862428295246,-0.8826011412919297,At Risk
CUST0046,73,2,150.20979363821579,3,1,1,311,1.6666666666666667,New Customers,1,-1.6909330179182658,-0.9499761510934344,At Risk
CUST0047,335,5,466.757831861959,1,3,3,133,2.3333333333333335,At Risk,1,-1.621630376276124,2.8521759183280104,At Risk
CUST0048,48,4,501.69599752296324,3,2,3,323,2.6666666666666665,New Customers,1,-0.1956104914995938,-0.5667950973053335,At Risk
CUST0049,200,4,277.4387508862274,1,2,1,121,1.3333333333333333,About to Sleep,1,-1.5607558011270415,0.9261777086981269,At Risk
CUST0050,131,5,495.0500659826905,2,3,3,233,2.6666666666666665,At Risk,1,-0.39829291236831954,0.5115539200268033,At Risk
CUST0051,294,4,589.8338341139424,1,2,4,124,2.3333333333333335,About to Sleep,1,-1.3978492010508068,2.406762740679363,At Risk
CUST0052,30,4,287.08138506587903,4,2,1,421,2.3333333333333335,New Customers,1,-0.5724192907311804,-1.0415560301805926,At Risk
CUST0053,124,4,490.7157442265677,2,2,3,223,2.3333333333333335,About to Sleep,1,-0.652346086356305,0.3046577125118932,At Risk
CUST0054,78,7,931.3451372342204,3,4,5,345,4.0,Loyal Customers,0,1.4456237840639343,0.6734548102183621,VIP Customers
CUST0055,197,5,494.78728321134827,1,3,3,133,2.3333333333333335,At Risk,1,-0.774228276687392,1.2797980873183186,At Risk
CUST0056,20,5,469.71899869802826,4,3,3,433,3.3333333333333335,Loyal Customers,0,0.1764178080763998,-0.812335042329805,VIP Customers
CUST0057,3,4,471.83905007748274,5,2,3,523,3.3333333333333335,Potential Loyalists,1,-0.006353483326964281,-1.1277068478591963,At Risk
CUST0058,51,6,734.4340208314859,3,4,4,344,3.6666666666666665,Loyal Customers,0,0.8753405220722338,-0.0042650946367396424,VIP Customers
CUST0059,32,4,218.44927446807972,4,2,1,421,2.3333333333333335,New Customers,1,-0.7370305048217308,-1.1030594068850788,At Risk
CUST0060,84,2,307.1446286351237,2,1,2,212,1.6666666666666667,About to Sleep,1,-1.4030979179239145,-0.6279920880133575,At Risk
CUST0061,26,7,666.7447848778013,4,4,4,444,4.0,Champions,0,1.150571715473052,-0.25899171295633255,VIP Customers
CUST0062,144,3,296.0661531553625,1,1,2,112,1.3333333333333333,About to Sleep,1,-1.484873700888412,0.17704603466563432,At Risk
CUST0063,161,3,214.43397543868952,1,1,1,111,1.0,About to Sleep,1,-1.7638170718782753,0.2741561179535679,At Risk
CUST0064,53,3,260.07351933614086,3,1,1,311,1.6666666666666667,New Customers,1,-1.0477093986720265,-0.9271153945140197,At Risk
CUST0065,26,5,408.2884717148148,4,3,2,432,3.0,Promising,1,0.005137387528129083,-0.818361104623724,At Risk
CUST0066,248,2,259.3874407069012,1,1,1,111,1.0,About to Sleep,1,-2.442411354684423,1.222782132150835,At Risk
CUST0067,46,3,385.84057193995847,3,1,2,312,2.0,New Customers,1,-0.7270957486411866,-0.8532480663867799,At Risk
CUST0068,13,4,304.25364546982127,5,2,2,522,3.0,New Customers,1,-0.43739754900550565,-1.2183048090643733,At Risk
CUST0069,159,5,544.2609190030313,1,3,3,133,2.3333333333333335,At Risk,1,-0.44765715290390745,0.8984122624467725,At Risk
CUST0070,4,2,142.29253383463677,5,1,1,511,2.3333333333333335,New Customers,1,-1.3162001830180923,-1.7632615133225737,At Risk
CUST0071,30,3,145.77117053551603,4,1,1,411,2.0,New Customers,1,-1.1721124350858294,-1.3361678214136397,At Risk
CUST0072,78,6,739.9328814011341,3,4,4,344,3.6666666666666665,Loyal Customers,0,0.7340662794314682,0.31694313790603673,VIP Customers
CUST0073,17,9,707.0773232165236,5,5,4,554,4.666666666666667,Champions,0,1.8601783244047454,-0.07391390051446253,VIP Customers
CUST0074,19,4,540.6564791042989,5,2,3,523,3.3333333333333335,Potential Loyalists,1,0.05630368565633619,-0.8563648339610339,At Risk
CUST0075,221,6,724.3010812061212,1,4,4,144,3.0,At Risk,1,-0.11409070829110389,1.962862883518604,At Risk
CUST0076,56,7,717.5694916745239,3,4,4,344,3.6666666666666665,Loyal Customers,0,1.0934365743849763,0.15315047196222686,VIP Customers
CUST0077,141,2,331.12197422179463,1,1,2,112,1.3333333333333333,About to Sleep,1,-1.6737277005169002,0.0653953413248066,At Risk
CUST0078,11,6,705.3877991562416,5,4,4,544,4.333333333333333,Champions,0,1.0379721593526055,-0.5059503014729003,VIP Customers
CUST0079,22,7,746.0084840172087,4,4,4,444,4.0,Champions,0,1.3502946037772698,-0.20764322584676417,VIP Customers
CUST0080,379,1,262.40599203017814,1,1,1,111,1.0,About to Sleep,1,-3.4648674301355835,2.63197777642208,At Risk
CUST0081,370,1,161.90955667676968,1,1,1,111,1.0,About to Sleep,1,-3.638064989998518,2.4030119790529176,At Risk
CUST0082,149,4,369.82298233646554,1,2,2,122,1.6666666666666667,About to Sleep,1,-1.064444569634963,0.44642213537689024,At Risk
CUST0083,28,8,1117.2294587604285,4,5,5,455,4.666666666666667,Champions,0,2.4291939318676268,0.4408877380969975,VIP Customers
CUST0084,10,3,231.1978581565071,5,1,1,511,2.3333333333333335,New Customers,1,-0.8676356438833989,-1.4635248246921166,At Risk
CUST0085,54,3,270.48992929498684,3,1,1,311,1.6666666666666667,New Customers,1,-1.0301394621347013,-0.9026011853530831,At Risk
CUST0086,5,4,267.502127057725,5,2,1,521,2.6666666666666665,New Customers,1,-0.47395698342998854,-1.3568702945406796,At Risk
CUST0087,12,7,985.2265109668452,5,4,5,545,4.666666666666667,Champions,0,1.9412750166575354,-0.028544862480845146,VIP Customers
CUST0088,2,5,945.6282816040753,5,3,5,535,4.333333333333333,Loyal Customers,0,1.341362833696341,-0.43397011657753415,VIP Customers
CUST0089,45,3,313.15085909821545,3,1,2,312,2.0,New Customers,1,-0.8837051935149388,-0.9546994609924078,At Risk
CUST0090,14,8,755.5314069033611,5,5,4,554,4.666666666666667,Champions,0,1.7012390355923288,-0.16901135887109087,VIP Customers
CUST0091,110,2,154.97194966268046,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.8907231295738585,-0.5132282769045485,At Risk
CUST0092,16,7,733.2601844729375,5,4,4,544,4.333333333333333,Champions,0,1.3559536891484207,-0.2932633404602547,VIP Customers
CUST0093,9,7,781.5001147054314,5,4,5,545,4.666666666666667,Champions,0,1.5034701614445733,-0.31517892916484347,VIP Customers
CUST0094,390,1,120.58324956314604,1,1,1,111,1.0,About to Sleep,1,-3.8440775125764923,2.5848539541604487,At Risk
CUST0095,280,4,379.19271658457916,1,2,2,122,1.6666666666666667,About to Sleep,1,-1.7885346591010731,1.9834908953753096,At Risk
CUST0096,128,5,784.4712677540874,2,3,5,235,3.3333333333333335,At Risk,0,0.2649679603231789,0.8341919883506748,VIP Customers
CUST0097,32,2,227.02049413255284,4,1,1,411,2.0,New Customers,1,-1.286264291638524,-1.3325226291203203,At Risk
CUST0098,169,4,270.7188510415137,1,2,1,121,1.3333333333333333,About to Sleep,1,-1.3994594077321083,0.5568809821157715,At Risk
CUST0099,96,5,689.3014870578361,2,3,4,234,3.0,At Risk,0,0.23446669961283784,0.34397255421355827,VIP Customers
CUST0100,167,2,146.4111550132134,1,1,1,111,1.0,About to Sleep,1,-2.234001813239616,0.13995905361951122,At Risk
CUST0101,17,6,721.0998133074628,5,4,4,544,4.333333333333333,Champions,0,1.0389302502467748,-0.4166685879114814,VIP Customers
CUST0102,296,3,288.47143493116283,1,1,1,111,1.0,About to Sleep,1,-2.366269955450407,1.9377002443476066,At Risk
CUST0103,101,3,322.1295940705075,2,1,2,212,1.6666666666666667,About to Sleep,1,-1.1821357322220145,-0.291487440803921,At Risk
CUST0104,116,7,693.0262179774463,2,4,4,244,3.3333333333333335,At Risk,0,0.6974120189607687,0.8215267763143307,VIP Customers
CUST0105,112,5,470.36148554494264,2,3,3,233,2.6666666666666665,At Risk,1,-0.34536094929816313,0.25979710281597984,At Risk
CUST0106,7,6,555.2772235974896,5,4,3,543,4.0,Loyal Customers,0,0.725564087797047,-0.7379882784132513,VIP Customers
CUST0107,17,3,318.46850964277496,5,1,2,512,2.6666666666666665,New Customers,1,-0.7125934949997761,-1.2741891334273705,At Risk
CUST0108,25,5,464.74545236168444,4,3,3,433,3.3333333333333335,Loyal Customers,0,0.1368777159063041,-0.7602548293047815,VIP Customers
CUST0109,52,8,793.0162294641729,3,5,5,355,4.333333333333333,Loyal Customers,0,1.568822721900749,0.319809574249512,VIP Customers
CUST0110,3,2,53.71127841932963,5,1,1,511,2.3333333333333335,New Customers,1,-1.5082911611307468,-1.884346531028034,At Risk
CUST0111,42,10,1036.9021262208769,4,5,5,455,4.666666666666667,Champions,0,2.738596241655176,0.7447277401930735,VIP Customers
CUST0112,27,4,668.2669436965373,4,2,4,424,3.3333333333333335,Potential Loyalists,0,0.29572666866453196,-0.6055452802411325,VIP Customers
CUST0113,31,9,1332.6177550531645,4,5,5,455,4.666666666666667,Champions,0,3.177222173608343,0.8619561852548673,VIP Customers
CUST0114,20,6,780.7684500257078,4,4,5,445,4.333333333333333,Champions,0,1.1550929388864515,-0.30801445881906203,VIP Customers
CUST0115,155,3,304.3147915773742,1,1,2,112,1.3333333333333333,About to Sleep,1,-1.5290148204156477,0.3153318362216643,At Risk
CUST0116,38,8,898.9178674215486,4,5,5,455,4.666666666666667,Champions,0,1.8848919573199634,0.287618778971881,VIP Customers
CUST0117,18,4,579.3329757904066,5,2,3,523,3.3333333333333335,Potential Loyalists,0,0.14834498357619524,-0.8202259239247381,VIP Customers
CUST0118,72,6,804.5693091482141,3,4,5,345,4.0,Loyal Customers,0,0.9125046126862737,0.3269300143878702,VIP Customers
CUST0119,8,4,323.5417272852045,5,2,2,522,3.0,New Customers,1,-0.36589695557835183,-1.2526997537686135,At Risk
CUST0120,124,2,221.59871068959131,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.8215829308001363,-0.26788274576698096,At Risk
CUST0121,95,2,385.0100105935019,2,1,2,212,1.6666666666666667,About to Sleep,1,-1.2918036045260415,-0.40369645464248155,At Risk
CUST0122,27,8,740.8576983064265,4,5,4,454,4.333333333333333,Champions,0,1.594544289415011,-0.03575560766150252,VIP Customers
CUST0123,10,5,728.5484284055057,5,3,4,534,4.0,Loyal Customers,0,0.8111851998224795,-0.6090072570292913,VIP Customers
CUST0124,220,5,370.48986192543697,1,3,2,132,2.0,At Risk,1,-1.1825542459022236,1.3940661699102563,At Risk
CUST0125,24,7,620.2501594496501,4,4,4,444,4.0,Champions,0,1.058135944220192,-0.3397246819926024,VIP Customers
CUST0126,21,7,776.2782283716328,4,4,5,445,4.333333333333333,Champions,0,1.4235658885969495,-0.18189065848361347,VIP Customers
CUST0127,55,3,515.8103868601681,3,1,3,313,2.3333333333333335,New Customers,1,-0.48809207260537124,-0.5878686091596057,At Risk
CUST0128,171,5,409.9126620123792,1,3,2,132,2.0,At Risk,1,-0.8158658235952984,0.8721679715789866,At Risk
CUST0129,24,8,992.9186156582156,4,5,5,455,4.666666666666667,Champions,0,2.174389712202085,0.24072471733433337,VIP Customers
CUST0130,12,8,724.5989208429015,5,5,4,554,4.666666666666667,Champions,0,1.643549328963914,-0.23051767463830727,VIP Customers
CUST0131,77,5,278.88379554849854,3,3,1,331,2.3333333333333335,Promising,1,-0.5738305233663371,-0.3843434107549694,At Risk
CUST0132,17,5,756.3313984258704,5,3,4,534,4.0,Loyal Customers,0,0.8334073825217685,-0.4931671821641356,VIP Customers
CUST0133,304,3,336.5955187196254,1,1,2,112,1.3333333333333333,About to Sleep,1,-2.304318646414306,2.0903162640149238,At Risk
CUST0134,41,6,533.8895940355158,4,4,3,443,3.6666666666666665,Loyal Customers,0,0.4844498517920335,-0.3684827895030635,VIP Customers
CUST0135,5,4,608.3821019563699,5,2,4,524,3.6666666666666665,Potential Loyalists,0,0.28713616431532124,-0.9357211884385586,VIP Customers
CUST0136,102,2,256.1608958583596,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.6192986689602182,-0.4813715972708358,At Risk
CUST0137,58,9,1477.4802740641842,3,5,5,355,4.333333333333333,Loyal Customers,0,3.3471094344145995,1.355344905059051,VIP Customers
CUST0138,110,5,606.2572364231418,2,3,4,234,3.0,At Risk,1,-0.030568147905397844,0.4044031081969903,At Risk
CUST0139,1,7,695.1030811168085,5,4,4,544,4.333333333333333,Champions,0,1.3560656665897295,-0.5150802685433631,VIP Customers
CUST0140,112,5,595.8088558863247,2,3,4,234,3.0,At Risk,1,-0.06527076800229004,0.414784346926883,At Risk
CUST0141,94,7,828.5548088405525,2,4,5,245,3.6666666666666665,At Risk,0,1.1251270634369568,0.7327795190245617,VIP Customers
CUST0142,231,3,354.83463138105765,1,1,2,112,1.3333333333333333,About to Sleep,1,-1.8484372760711312,1.2627665491764883,At Risk
CUST0143,10,8,1121.2429259247942,5,5,5,555,5.0,Champions,0,2.540522734013407,0.2362366006967409,VIP Customers
CUST0144,14,7,565.3242047521412,5,4,3,543,4.0,Loyal Customers,0,0.9923720911789146,-0.5240342160041906,VIP Customers
CUST0145,103,3,428.65733485436465,2,1,2,212,1.6666666666666667,About to Sleep,1,-0.9556621878538023,-0.1365849847624419,At Risk
CUST0146,30,6,880.5758081487173,4,4,5,445,4.333333333333333,Champions,0,1.3210648743136126,-0.06825501772836651,VIP Customers
CUST0147,154,5,496.0660355258816,1,3,3,133,2.3333333333333335,At Risk,1,-0.5268278404428847,0.7806437182269815,At Risk
CUST0148,14,7,679.2916403945884,5,4,4,544,4.333333333333333,Champions,0,1.2468306710921577,-0.38323015833011087,VIP Customers
CUST0149,112,7,872.9397450425114,2,4,5,245,3.6666666666666665,At Risk,0,1.1218588570327588,0.9972257333299902,VIP Customers
CUST0150,98,2,252.19674208816184,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.6054011538533828,-0.5328491440639659,At Risk
CUST0151,164,4,332.76236479449085,1,2,2,122,1.6666666666666667,About to Sleep,1,-1.232497453495276,0.575309357252721,At Risk
CUST0152,18,5,632.0636268806796,5,3,4,534,4.0,Loyal Customers,0,0.5502638269189739,-0.6350520777420042,VIP Customers
CUST0153,50,4,357.86525080133026,3,2,2,322,2.3333333333333335,New Customers,1,-0.5281200008498175,-0.7212046014321412,At Risk
CUST0154,16,10,924.5676852342522,5,5,5,555,5.0,Champions,0,2.6356483150896794,0.303171669839555,VIP Customers
CUST0155,16,5,284.88378909861467,5,3,1,531,3.0,Promising,1,-0.21352101615587205,-1.0872744792057132,At Risk
CUST0156,121,6,849.5638438824251,2,4,5,245,3.6666666666666665,At Risk,0,0.7342973562278404,0.9531238232489839,VIP Customers
CUST0157,17,5,470.61430349447295,5,3,3,533,3.6666666666666665,Loyal Customers,0,0.19547808435563213,-0.8461638613155904,VIP Customers
CUST0158,398,1,137.3331239819915,1,1,1,111,1.0,About to Sleep,1,-3.8521763605619124,2.698707883932037,At Risk
CUST0159,102,5,716.2395735588175,2,3,4,234,3.0,At Risk,0,0.2604895856567838,0.4471238133138285,VIP Customers
CUST0160,196,6,749.3548700118763,1,4,4,144,3.0,At Risk,0,0.08402516799184544,1.7026916875475622,VIP Customers
CUST0161,32,5,592.9879553685294,4,3,4,434,3.6666666666666665,Loyal Customers,0,0.38339897104139053,-0.5202993894074837,VIP Customers
CUST0162,84,8,557.0633499684479,2,5,3,253,3.3333333333333335,At Risk,0,0.8600162898953638,0.40093483266841257,VIP Customers
CUST0163,89,4,273.75449821916436,2,2,1,221,1.6666666666666667,About to Sleep,1,-0.937713575492361,-0.3709671287538992,At Risk
CUST0164,82,5,597.5600549851731,2,3,4,234,3.0,At Risk,0,0.10925220651753559,0.06759844398708345,VIP Customers
CUST0165,38,6,709.7711962696642,4,4,4,444,4.0,Champions,0,0.8942073873302121,-0.18612019751517406,VIP Customers
CUST0166,106,7,829.6921279202669,2,4,5,245,3.6666666666666665,At Risk,0,1.0594211830492264,0.8739244368327374,VIP Customers
CUST0167,177,3,378.4973016732434,1,1,2,112,1.3333333333333333,About to Sleep,1,-1.4885014745516338,0.6631721738099302,At Risk
CUST0168,18,2,298.11489952998477,5,1,2,512,2.6666666666666665,New Customers,1,-1.0479102291367783,-1.4077169328406742,At Risk
CUST0169,22,2,175.07839165886128,4,1,1,411,2.0,New Customers,1,-1.3453660065412754,-1.5131456846370215,At Risk
CUST0170,137,6,1029.3422629909755,1,4,5,145,3.3333333333333335,At Risk,0,1.0447005221514234,1.3615555027956594,VIP Customers
CUST0171,25,9,696.5447558117926,4,5,4,454,4.333333333333333,Champions,0,1.7911651339682675,0.00623322090119777,VIP Customers
CUST0172,39,4,500.39059528326396,4,2,3,423,3.0,Potential Loyalists,1,-0.14734119739708468,-0.6732127310822947,At Risk
CUST0173,42,7,458.7807845968261,4,4,3,443,3.6666666666666665,Loyal Customers,0,0.5952505202771478,-0.3296065757368396,VIP Customers
CUST0174,228,2,126.5006063086075,1,1,1,111,1.0,About to Sleep,1,-2.6253698424784377,0.8257039618376409,At Risk
CUST0175,57,6,564.430664916244,3,4,3,343,3.3333333333333335,Loyal Customers,0,0.4616462250383749,-0.14443030624647854,VIP Customers
CUST0176,19,2,284.56983321338873,5,1,1,511,2.3333333333333335,New Customers,1,-1.0838398136802183,-1.4128065580419351,At Risk
CUST0177,1,8,715.1985106867288,5,5,4,554,4.666666666666667,Champions,0,1.6851188525066767,-0.37022646279371096,VIP Customers
CUST0179,26,7,653.5174984100648,4,4,4,444,4.0,Champions,0,1.1210387483433406,-0.2753337109680968,VIP Customers
CUST0180,3,2,116.66495258876812,5,1,1,511,2.3333333333333335,New Customers,1,-1.3677325670097609,-1.806568763031582,At Risk
CUST0181,127,3,175.8782319987745,2,1,1,211,1.3333333333333333,About to Sleep,1,-1.6565402384899568,-0.1694079834169081,At Risk
CUST0182,86,2,302.9789245698441,2,1,2,212,1.6666666666666667,About to Sleep,1,-1.4237730140707432,-0.6098487518451993,At Risk
CUST0183,43,9,891.0578979964472,3,5,5,355,4.333333333333333,Loyal Customers,0,2.123092765602663,0.4561592650767345,VIP Customers
CUST0184,114,5,527.5793674124802,2,3,3,233,2.6666666666666665,At Risk,1,-0.22898303536015596,0.3537784002860164,At Risk
CUST0185,23,4,606.4584312864383,4,2,4,424,3.3333333333333335,Potential Loyalists,0,0.18047331473119824,-0.7284881571449219,VIP Customers
CUST0186,307,1,124.69181811649318,1,1,1,111,1.0,About to Sleep,1,-3.3628748340875845,1.6233964653666242,At Risk
CUST0187,20,9,1214.6933244967697,4,5,5,455,4.666666666666667,Champions,0,2.976486796967573,0.5881685495644875,VIP Customers
CUST0188,76,9,1044.331837500228,3,5,5,355,4.333333333333333,Loyal Customers,0,2.277637858510888,1.0298099885160221,VIP Customers
CUST0189,31,4,460.7840073777178,4,2,3,423,3.0,Potential Loyalists,1,-0.19027523281843603,-0.815305587051348,At Risk
CUST0190,79,7,746.0210841666106,2,4,4,244,3.3333333333333335,At Risk,0,1.0261580009459017,0.4561363301574746,VIP Customers
CUST0191,39,6,606.5102868800873,4,4,4,444,4.0,Champions,0,0.6579664954788501,-0.30205161424325766,VIP Customers
CUST0192,10,10,1006.2795028270109,5,5,5,555,5.0,Champions,0,2.852211393602666,0.33425478458528496,VIP Customers
CUST0193,30,5,782.9367110365035,4,3,5,435,4.0,Loyal Customers,0,0.8188775697526236,-0.3089121814752936,VIP Customers
CUST0194,1,9,1249.9936727813026,5,5,5,555,5.0,Champions,0,3.163357876304929,0.41052662782361443,VIP Customers
CUST0195,81,7,760.8641846526733,2,4,4,244,3.3333333333333335,At Risk,0,1.04792444421528,0.49776459250015526,VIP Customers
CUST0196,159,4,365.49565468949527,1,2,2,122,1.6666666666666667,About to Sleep,1,-1.1309773326891608,0.5575256475316246,At Risk
CUST0197,7,4,250.09331770682817,5,2,1,521,2.6666666666666665,New Customers,1,-0.5242003658651209,-1.355088500157756,At Risk
CUST0198,204,6,700.7041557283312,1,4,4,144,3.0,At Risk,1,-0.07009557504534134,1.735744744581602,At Risk
CUST0199,13,5,807.8431054779061,5,3,5,535,4.333333333333333,Loyal Customers,0,0.9711675491370373,-0.4761056215999733,VIP Customers
CUST0200,272,1,84.27202700613503,1,1,1,111,1.0,About to Sleep,1,-3.254072816331721,1.1658843951486633,At Risk
CUST0201,84,8,1081.8381547886177,2,5,5,255,4.0,At Risk,0,2.0316970498953295,1.0492816298677579,VIP Customers
CUST0202,170,5,632.9008791944868,1,3,4,134,2.6666666666666665,At Risk,1,-0.31230610908213896,1.136019631107576,At Risk
CUST0203,109,5,420.42458689208826,2,3,2,232,2.3333333333333335,At Risk,1,-0.43979528865764733,0.16316630477513636,At Risk
CUST0204,142,1,90.14159863567686,1,1,1,111,1.0,About to Sleep,1,-2.501644563074144,-0.3407115824237459,At Risk
CUST0205,153,3,310.70352102525857,1,1,2,112,1.3333333333333333,About to Sleep,1,-1.5033763074929658,0.29993499507130433,At Risk
CUST0206,80,7,733.7383466001986,2,4,4,244,3.3333333333333335,At Risk,0,0.9930468564186364,0.45260628212088877,VIP Customers
CUST0207,135,3,428.4914972149599,1,1,2,112,1.3333333333333333,About to Sleep,1,-1.138019678593746,0.23584955909564698,At Risk
CUST0208,169,5,396.7263479538413,1,3,2,132,2.0,At Risk,1,-0.8339331091255299,0.8325866294848822,At Risk
CUST0209,38,4,606.7062128478804,4,2,4,424,3.3333333333333335,Potential Loyalists,1,0.09572003484263657,-0.55350729501587,At Risk
CUST0210,1,7,792.8490579583382,5,4,5,545,4.666666666666667,Champions,0,1.574306099210859,-0.3943174376257393,VIP Customers
CUST0211,24,6,651.3119188840759,4,4,4,444,4.0,Champions,0,0.8433029791322809,-0.42137499675900264,VIP Customers
